CustomerID,Total,Orders,Lifespan,AOV,PurchaseFreq,CLV,Cohort
12346,77183.6,1,1,77183.6,1.0,77183.6,2011-01
12347,4310.0,7,13,615.7142857142857,0.5384615384615384,4309.999999999999,2010-12
12348,1797.24,4,10,449.31,0.4,1797.2400000000002,2010-12
12349,1757.55,1,1,1757.55,1.0,1757.55,2011-11
12350,334.4,1,1,334.4,1.0,334.4,2011-02
12352,2506.04,8,10,313.255,0.8,2506.04,2011-02
12353,89.0,1,1,89.0,1.0,89.0,2011-05
12354,1079.4,1,1,1079.4,1.0,1079.4,2011-04
12355,459.4,1,1,459.4,1.0,459.4,2011-05
12356,2811.43,3,11,937.1433333333333,0.2727272727272727,2811.43,2011-01
12357,6207.67,1,1,6207.67,1.0,6207.67,2011-11
12358,1168.06,2,6,584.03,0.3333333333333333,1168.06,2011-07
12359,6310.03,4,10,1577.5075,0.4,6310.030000000001,2011-01
12360,2662.06,3,6,887.3533333333334,0.5,2662.06,2011-05
12361,189.9,1,1,189.9,1.0,189.9,2011-02
12362,5226.23,10,11,522.6229999999999,0.9090909090909091,5226.229999999999,2011-02
12363,552.0,2,5,276.0,0.4,552.0,2011-04
12364,1313.1,4,5,328.275,0.8,1313.1,2011-08
12365,641.38,2,1,320.69,2.0,641.38,2011-02
12367,168.9,1,1,168.9,1.0,168.9,2011-12
12370,3541.94,4,11,885.485,0.36363636363636365,3541.94,2010-12
12371,1887.96,2,1,943.98,2.0,1887.96,2011-10
12372,1298.04,3,8,432.68,0.375,1298.04,2011-02
12373,364.6,1,1,364.6,1.0,364.6,2011-02
12374,742.9300000000001,1,1,742.9300000000001,1.0,742.9300000000001,2011-11
12375,457.5,2,3,228.75,0.6666666666666666,457.5,2011-09
12377,1628.12,2,2,814.06,1.0,1628.12,2010-12
12378,4008.62,1,1,4008.62,1.0,4008.62,2011-08
12379,852.24,2,4,426.12,0.5,852.24,2011-06
12380,2724.81,4,6,681.2025,0.6666666666666666,2724.81,2011-06
12381,1845.31,5,5,369.062,1.0,1845.31,2011-08
12383,1850.56,5,7,370.11199999999997,0.7142857142857143,1850.56,2010-12
12384,585.27,2,4,292.635,0.5,585.27,2011-08
12386,401.9,2,2,200.95,1.0,401.9,2010-12
12388,2780.66,6,11,463.4433333333333,0.5454545454545454,2780.66,2011-01
12390,549.84,1,1,549.84,1.0,549.84,2011-09
12391,439.66,1,1,439.66,1.0,439.66,2011-11
12393,1582.6000000000001,4,9,395.65000000000003,0.4444444444444444,1582.6000000000001,2011-01
12394,1272.48,2,6,636.24,0.3333333333333333,1272.48,2011-05
12395,3018.63,12,12,251.5525,1.0,3018.63,2010-12
12397,2409.9,2,5,1204.95,0.4,2409.9,2011-07
12398,1635.6599999999999,1,1,1635.6599999999999,1.0,1635.6599999999999,2011-10
12399,1108.65,4,6,277.1625,0.6666666666666666,1108.65,2011-03
12401,84.3,1,1,84.3,1.0,84.3,2011-02
12402,225.6,1,1,225.6,1.0,225.6,2011-01
12403,427.70000000000005,1,1,427.70000000000005,1.0,427.70000000000005,2011-10
12405,1710.39,1,1,1710.39,1.0,1710.39,2011-07
12406,3415.3,2,6,1707.65,0.3333333333333333,3415.3,2011-06
12407,1708.12,5,8,341.62399999999997,0.625,1708.12,2011-03
12408,2888.55,5,9,577.71,0.5555555555555556,2888.55,2011-03
12409,11072.67,3,4,3690.89,0.75,11072.67,2011-06
12410,693.33,2,1,346.665,2.0,693.33,2011-02
12412,1226.88,3,4,408.96000000000004,0.75,1226.88,2011-06
12413,758.1,3,10,252.70000000000002,0.3,758.1,2011-01
12414,562.41,3,4,187.47,0.75,562.41,2011-02
12415,124914.53,21,11,5948.310952380953,1.9090909090909092,124914.53000000001,2011-01
12417,3649.1,9,13,405.4555555555555,0.6923076923076923,3649.1,2010-12
12418,668.58,1,1,668.58,1.0,668.58,2011-08
12420,600.39,1,1,600.39,1.0,600.39,2011-10
12421,807.04,4,11,201.76,0.36363636363636365,807.04,2011-01
12422,803.5600000000001,3,9,267.85333333333335,0.3333333333333333,803.5600000000001,2011-01
12423,1859.31,8,13,232.41375,0.6153846153846154,1859.3100000000002,2010-12
12424,1760.96,2,1,880.48,2.0,1760.96,2011-06
12425,777.2,1,1,777.2,1.0,777.2,2011-09
12426,582.73,1,1,582.73,1.0,582.73,2011-05
12427,825.8,3,12,275.26666666666665,0.25,825.8,2010-12
12428,7956.46,9,9,884.0511111111111,1.0,7956.46,2011-03
12429,3750.4,4,12,937.6,0.3333333333333333,3750.3999999999996,2010-12
12430,256.4,1,1,256.4,1.0,256.4,2011-10
12431,6419.95,15,12,427.99666666666667,1.25,6419.950000000001,2010-12
12432,5059.32,5,5,1011.8639999999999,1.0,5059.32,2011-06
12433,13375.87,7,13,1910.8385714285716,0.5384615384615384,13375.869999999999,2010-12
12434,806.14,2,7,403.07,0.2857142857142857,806.14,2011-03
12435,7829.89,2,7,3914.945,0.2857142857142857,7829.889999999999,2011-03
12436,509.01000000000005,1,1,509.01000000000005,1.0,509.01000000000005,2011-09
12437,4951.41,18,12,275.0783333333333,1.5,4951.41,2011-01
12438,2906.85,2,5,1453.425,0.4,2906.85,2011-07
12441,173.55,1,1,173.55,1.0,173.55,2010-12
12442,172.06,1,1,172.06,1.0,172.06,2011-12
12444,5005.46,5,6,1001.092,0.8333333333333334,5005.46,2011-06
12445,133.4,1,1,133.4,1.0,133.4,2011-11
12446,1002.3100000000001,1,1,1002.3100000000001,1.0,1002.3100000000001,2011-10
12447,476.49,1,1,476.49,1.0,476.49,2011-04
12448,449.45,1,1,449.45,1.0,449.45,2011-10
12449,4067.29,4,6,1016.8225,0.6666666666666666,4067.29,2011-06
12450,197.88,2,2,98.94,1.0,197.88,2011-06
12451,9035.52,5,11,1807.104,0.45454545454545453,9035.52,2011-01
12452,430.57000000000005,2,1,215.28500000000003,2.0,430.57000000000005,2011-11
12453,707.09,1,1,707.09,1.0,707.09,2011-07
12454,3528.34,1,1,3528.34,1.0,3528.34,2011-10
12455,2466.86,6,8,411.1433333333334,0.75,2466.86,2011-02
12456,3181.04,3,8,1060.3466666666666,0.375,3181.04,2011-03
12457,2363.23,7,7,337.6042857142857,1.0,2363.23,2011-04
